imo,source,shipname,flag,ssvid,match_fields,transmission_from,transmission_to,is_verified
9333577,self_reported,ARKTIDA,RUS,273259860,SEVERAL_FIELDS,2024-08-23T10:21:15Z,2026-09-08T18:41:17Z,True
9333577,self_reported,GENERAL HAZI ASLANOV,RUS,273430870,SEVERAL_FIELDS,2012-01-28T00:03:29Z,2024-08-23T10:18:21Z,True
9645023,registry,VF TANKER-13,RUS,273359170,REGISTRY,2012-10-15T20:21:43Z,2023-07-01T09:07:54Z,True
9645023,self_reported,VF TANKER-13,RUS,273359170,SEVERAL_FIELDS,2012-10-15T20:19:07Z,2026-07-09T11:14:13Z,True
9645009,registry,VF TANKER-11,RUS,273357860,REGISTRY,2012-10-15T20:18:32Z,2026-05-20T05:54:37Z,True
9645009,self_reported,PROFESSOR MALYSHKIN,RUS,273357860,SEVERAL_FIELDS,2012-10-15T20:16:16Z,2026-09-08T23:59:50Z,True
9164718,self_reported,THOTH,LBR,636024220,NO_MATCH,2024-06-07T07:45:35Z,2024-10-29T07:40:46Z,False
9164718,registry,TRANSHOLM,MLT,249913000,REGISTRY,2016-11-23T11:05:42Z,2024-06-07T07:40:04Z,True
9164718,self_reported,TRANS HOLM,MLT,249913000,SEVERAL_FIELDS,2016-11-23T11:05:45Z,2024-06-07T07:42:32Z,True
9164718,self_reported,BOW MASTER,SGP,564744000,SEVERAL_FIELDS,2012-01-19T06:20:06Z,2016-11-23T11:03:48Z,True
9164718,self_reported,THOTH,RUS,273253080,NO_MATCH,2024-10-29T09:08:33Z,2026-08-30T22:42:35Z,False
9735141,self_reported,HAI CHUAN 23,CHN,413350080,NO_MATCH,2014-12-08T06:18:49Z,2014-12-14T07:33:26Z,False
